Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-28 15:30:00+01:00,229.55499267578125,230.7299041748047,228.10000610351562,230.3000030517578,5104097,73.56999969482422,73.58499908447266,72.62999725341797,73.20999908447266,6974092,594.5,594.739990234375,587.0,593.756591796875,1578674,337.9800109863281,339.6687927246094,336.6000061035156,339.2699890136719,5797429,327.6400146484375,332.7366027832031,327.05999755859375,331.94000244140625,2376094
2026-07-28 16:30:00+01:00,230.2899932861328,231.8022003173828,229.94000244140625,231.27999877929688,3409351,73.22000122070312,73.3499984741211,72.85030364990234,73.20500183105469,2826944,594.030029296875,598.0,593.3099975585938,596.364990234375,856349,339.2401123046875,340.1400146484375,339.0,339.80999755859375,4043365,331.96990966796875,333.6300048828125,331.79998779296875,332.9649963378906,1782070
2026-07-28 17:30:00+01:00,231.28509521484375,232.3800048828125,231.0800018310547,232.02999877929688,2552662,73.19999694824219,73.44000244140625,73.16999816894531,73.26499938964844,2907406,596.364990234375,597.0,592.239990234375,593.5499877929688,1152599,339.8299865722656,340.57989501953125,338.93011474609375,339.0299987792969,3106607,332.93499755859375,334.5899963378906,332.4100036621094,334.3800048828125,1517302
2026-07-28 18:30:00+01:00,232.0399932861328,232.13999938964844,230.80999755859375,231.14999389648438,2348397,73.26499938964844,73.4000015258789,72.94000244140625,72.99500274658203,3969469,593.5,595.219970703125,592.5,594.469970703125,682259,339.0400085449219,340.159912109375,339.0,339.8399963378906,3223079,334.3450012207031,335.1882019042969,333.6000061035156,334.2799987792969,1549237
2026-07-28 19:30:00+01:00,231.14500427246094,231.52999877929688,230.75010681152344,230.94500732421875,2425067,72.99500274658203,73.18000030517578,72.41000366210938,72.51499938964844,3625162,594.489990234375,595.3897094726562,591.6900024414062,593.5050048828125,707492,339.8399963378906,339.8900146484375,338.2799987792969,339.20001220703125,3590020,334.2799987792969,335.20880126953125,333.19000244140625,333.6199951171875,1460936
2026-07-28 20:30:00+01:00,230.91000366210938,231.24989318847656,230.39999389648438,230.89999389648438,8725766,72.51000213623047,72.55999755859375,72.33499908447266,72.37999725341797,5245672,593.4299926757812,594.489990234375,592.7000122070312,593.6599731445312,1826911,339.1600036621094,340.5299987792969,339.1000061035156,340.1600036621094,6415578,333.6000061035156,333.94000244140625,332.1600036621094,332.7200012207031,2430021
2026-07-29 14:30:00+01:00,229.31500244140625,230.24000549316406,227.3699951171875,227.625,5867338,72.19000244140625,72.66999816894531,71.75,72.05999755859375,8890134,593.4199829101562,594.5499877929688,586.3900146484375,588.3699951171875,2449866,339.69000244140625,343.6700134277344,339.55999755859375,341.1600036621094,10935247,333.7900085449219,335.6700134277344,330.40789794921875,331.2850036621094,3046985
2026-07-29 15:30:00+01:00,227.60000610351562,228.3800048828125,227.19500732421875,228.01499938964844,3528621,72.08000183105469,72.43499755859375,71.81500244140625,72.2699966430664,5198200,588.489990234375,592.969970703125,587.97998046875,591.4500122070312,1446148,341.1700134277344,341.739990234375,339.5199890136719,339.80999755859375,4890702,331.2449951171875,334.4200134277344,331.1000061035156,332.81500244140625,1575582
2026-07-29 16:30:00+01:00,228.0,229.17990112304688,227.32000732421875,229.1699981689453,3665075,72.27999877929688,73.36499786376953,72.05000305175781,73.28980255126953,4478959,591.4400024414062,592.5999755859375,585.25,590.8200073242188,1500775,339.8299865722656,341.55999755859375,339.760009765625,341.2699890136719,3546410,332.7900085449219,334.8999938964844,331.3949890136719,334.67999267578125,1442553
2026-07-29 17:30:00+01:00,229.13999938964844,230.8800048828125,228.9199981689453,230.13999938964844,4196409,73.27999877929688,73.3499984741211,72.47000122070312,73.0,4069895,590.8300170898438,595.4495239257812,589.8200073242188,592.9400024414062,1388402,341.25,343.44891357421875,340.04998779296875,342.7200012207031,3813347,334.6499938964844,337.2900085449219,333.77099609375,336.3299865722656,1623987
2026-07-29 18:30:00+01:00,230.1300048828125,232.0749969482422,229.36000061035156,231.44500732421875,3600633,73.00499725341797,73.62999725341797,72.80010223388672,73.57499694824219,3345588,592.9299926757812,598.22998046875,592.0399780273438,593.655029296875,1383905,342.69500732421875,344.56988525390625,342.3500061035156,343.58770751953125,5124505,336.29998779296875,339.5,335.0762023925781,339.2959899902344,2029448
2026-07-29 19:30:00+01:00,231.4300994873047,232.82000732421875,229.49000549316406,229.60000610351562,4537175,73.56999969482422,73.7300033569336,73.20999908447266,73.36499786376953,4429067,593.5499877929688,599.969970703125,588.0700073242188,589.12939453125,1830107,343.5899963378906,343.94000244140625,341.3299865722656,341.5299987792969,4812676,339.3399963378906,341.9800109863281,336.17999267578125,336.6700134277344,2776147
2026-07-29 20:30:00+01:00,229.64999389648438,229.65499877929688,226.16000366210938,226.7100067138672,8087435,73.36499786376953,73.68000030517578,73.26000213623047,73.62999725341797,7864359,589.1400146484375,590.2000122070312,582.219970703125,587.0,3503873,341.55999755859375,341.55999755859375,337.35009765625,338.07000732421875,8640481,336.7200012207031,336.8800048828125,334.80999755859375,335.8999938964844,3842020
2026-07-30 14:30:00+01:00,233.25,238.3800048828125,231.05999755859375,237.30999755859375,24136492,71.48999786376953,71.77999877929688,70.55000305175781,70.69000244140625,12040462,525.739990234375,537.5,524.5189819335938,531.3615112304688,15573619,333.1300048828125,334.4800109863281,330.3500061035156,331.30999755859375,13578994,333.0799865722656,335.45001220703125,329.82000732421875,331.07000732421875,5339550
2026-07-30 15:30:00+01:00,237.30999755859375,238.13780212402344,236.32749938964844,236.5500030517578,6296667,70.68499755859375,71.54989624023438,70.64399719238281,71.4999008178711,6560183,531.4000244140625,538.9400024414062,529.6699829101562,533.0050048828125,5431602,331.29998779296875,333.03228759765625,329.5899963378906,331.2200012207031,6768257,331.05499267578125,333.1199951171875,330.66009521484375,330.9840087890625,1766701
2026-07-30 16:30:00+01:00,236.55999755859375,239.49000549316406,236.4499969482422,238.6999969482422,6727384,71.48999786376953,72.58999633789062,71.44000244140625,72.4999008178711,4896605,532.9500122070312,536.989990234375,531.3200073242188,531.5399780273438,3965992,331.2349853515625,332.6000061035156,330.6300048828125,332.0899963378906,6061981,330.9700012207031,334.6293029785156,330.79998779296875,334.3949890136719,1209874
